relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"¿Teléfono rojo? Volamos hacia Moscú (1964) [tmdbid-935]/¿Teléfono rojo? Volamos hacia Moscú (1964) - (Spanish English Subs) BDRip 1080p x264-AC3 (newpct1).mkv",H264,Main,8-bit,SDR,720p,"AC3 5.1 (Surround); AC3 5.1 (Surround)",5699s,6336kbps,23.98,4.20 GB
"101 dálmatas (1961) [tmdbid-12230]/101 dálmatas (1961) - (Latino English Subs) BDRip 1080p x264-AC3 by Althus (grupohds).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (AC3 Español 5.1 @ 640 Kbps); DTS 5.1 (DTS Ingles 5.1 @ 1536 Kbps)",4756s,9652kbps,23.98,5.34 GB
"101 dálmatas 2 (2003) [tmdbid-13654]/101 dálmatas 2 (2003) - (Spanish English Subs) BDrip 1080p x265-AC3 by ana-axis (emulesonic com).mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (español); AC3 5.1 (english)",4436s,2068kbps,23.98,1.07 GB
"2001: una odisea del espacio (1968) [tmdbid-62]/2001: una odisea del espacio (1968) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",8930s,25498kbps,23.98,26.51 GB
"2001: una odisea del espacio (1968) [tmdbid-62]/2001: una odisea del espacio (1968) - out.mkv",AV1,Main,10-bit,HDR10,4K,"none",129s,5470kbps,23.98,0.08 GB
"2001: una odisea del espacio (1968) [tmdbid-62]/2001: una odisea del espacio (1968) - sample.mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"none",129s,26310kbps,23.98,0.39 GB
"9 semanas y media (1986) [tmdbid-10068]/9 semanas y media (1986) - (Spanish English Subs) BDRip 1080p x265-AC3 by Jonkar (hispashare org).mkv",HEVC,Main,8-bit,SDR,1080p,"AC3 2.0 (Castellano AC-3 2.0); AC3 5.1 (Inglés AC-3 5.1)",7009s,3357kbps,23.98,2.74 GB
"A Ghost Story (2017) [tmdbid-428449]/A Ghost Story (2017) - (Spanish English Spanishsub Englishsub) Webdlm 1080P x264-Ac3 By Spartangorge02.mkv",H264,High,8-bit,SDR,720p,"DTS 5.1 (spa); AC3 5.1 (spa); AC3 5.1 (eng)",5528s,7112kbps,23.98,4.58 GB
"A todo gas (2001) [tmdbid-9799]/A todo gas (2001) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 7.1 (Ingles)",6411s,29273kbps,23.98,21.85 GB
"Adaptation. El ladrón de orquídeas (2002) [tmdbid-2757]/Adaptation. El ladrón de orquídeas (2002) - (Spanish English Subs) BDRip 1080p x265-AC3 AAC by Tigole-Kakihara (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (Castellano); AAC 5.1 (VO. English)",6896s,6844kbps,23.98,5.49 GB
